Date,Open,High,Low,Close,Adj Close,Volume
2002-08-01,86.860001,87.269997,84.760002,84.870003,54.373165,12715600
2002-08-02,84.699997,85.150002,82.029999,83.199997,53.303238,12992600
2002-08-05,82.900002,83.25,80.300003,80.470001,51.554245,8641400
2002-08-06,82.050003,84.330002,81.849998,83,53.175087,12131400
2002-08-07,84.010002,84.849998,82.25,84.650002,54.232197,12801400
2002-08-08,85.080002,87.349998,84.339996,87.25,55.897972,14268400
2002-08-09,86.550003,88.239998,85.82,87.599998,56.122173,12693100
2002-08-12,86.379997,87.489998,85.980003,86.989998,55.731323,8905500
2002-08-13,86.529999,87.690002,84.720001,84.949997,54.424412,12022300
2002-08-14,85,87.849998,83.699997,87.470001,56.038837,15180300
2002-08-15,88.050003,88.949997,87.029999,88.330002,56.589863,15213000
2002-08-16,87.620003,88.559998,87.120003,87.730003,56.275501,8888600
2002-08-19,87.529999,90.129997,87.5,89.919998,57.680325,9593900
2002-08-20,89.32,89.639999,88.25,89,57.090199,10107600
2002-08-21,89.449997,90,88.010002,89.949997,57.699615,12027700
2002-08-22,89.75,91,89.349998,90.629997,58.135807,9013200
2002-08-23,89.889999,91,88.400002,88.720001,56.910576,8041900
2002-08-26,88.989998,89.720001,87.599998,89.330002,57.301895,8066100
2002-08-27,89.980003,90.440002,87.949997,88.5,56.769501,9351100
2002-08-28,87.760002,87.989998,86.580002,87.080002,55.858601,8161100
2002-08-29,86.199997,87.639999,85.059998,86.75,55.646885,9045200
2002-08-30,86.199997,88.029999,86.050003,86.519997,55.499397,9528400
2002-09-03,85.519997,85.660004,83.110001,83.160004,53.344116,12002400
2002-09-04,83.589996,84.790001,82.949997,84.139999,53.97271,11734700
2002-09-05,83.129997,83.949997,82.150002,83.400002,53.498024,13496700
2002-09-06,84.309998,85,83.900002,84.519997,54.216434,9178300
2002-09-09,83.879997,85.830002,83.300003,85.18,54.639778,8296800
2002-09-10,85.769997,86.5,85.18,86.489998,55.48011,8951200
2002-09-11,87.389999,87.989998,85.68,85.68,54.960552,6677700
2002-09-12,85.32,85.419998,83.739998,84.139999,53.97271,7140200
2002-09-13,83.440002,83.870003,82.699997,83.529999,53.581425,9613400
2002-09-16,83.050003,84.199997,82.75,84.150002,53.979092,5978000
2002-09-17,85.019997,85.290001,81.989998,82.160004,52.702545,13073100
2002-09-18,81.410004,82.900002,80.769997,81.419998,52.227936,11649100
2002-09-19,80.489998,81.489998,79.5,79.639999,51.086094,12834900
2002-09-20,79.879997,81.25,79.199997,79.669998,51.225605,9374000
2002-09-23,79.019997,79.230003,77.949997,78.800003,50.666225,9102200
2002-09-24,77.709999,78.800003,76.599998,77.07,49.553879,15202100
2002-09-25,78.050003,79.089996,76.650002,78.660004,50.57621,11780000
2002-09-26,79.18,80.269997,78.599998,79.809998,51.315594,11281800
2002-09-27,79.209999,79.5,76.849998,76.849998,49.412418,10727500
2002-09-30,76.050003,76.959999,74.599998,76,48.865913,17215400
2002-10-01,76.669998,80.050003,75.949997,80,51.437847,15772300
2002-10-02,79.059998,79.879997,77.290001,77.919998,50.100426,13694600
2002-10-03,78.480003,79.400002,77,77.379997,49.753193,13741400
2002-10-04,77.93,78.010002,74.809998,75.959999,48.840229,16881400
2002-10-07,75.230003,76.650002,74.139999,74.739998,48.05579,13419900
2002-10-08,75.290001,76.5,73.400002,75.389999,48.473698,21139100
2002-10-09,74.029999,74.739998,72.900002,73.120003,47.014187,20801400
2002-10-10,73,75.800003,72.029999,75.419998,48.492989,21248700
2002-10-11,76.75,79.209999,76.540001,78.989998,50.788387,23525600
2002-10-14,77.949997,79.400002,77.580002,78.940002,50.756298,12540500
2002-10-15,81.5,82.849998,81.099998,82.800003,53.238159,17099700
2002-10-16,81.610001,82.099998,80.220001,80.800003,51.952202,17516400
2002-10-17,83.339996,83.790001,82.099998,82.839996,53.263885,13087900
2002-10-18,82.139999,83.480003,81.489998,83.099998,53.498863,10921300
2002-10-21,82.5,85.639999,82.339996,85.419998,54.992371,14045400
2002-10-22,84.389999,85.010002,83.800003,84.730003,54.548187,10740000
2002-10-23,84,85.239998,83,85.230003,54.870083,12054500
2002-10-24,85.68,85.889999,82.779999,83.029999,53.453754,12298300
2002-10-25,82.82,84.690002,82.550003,84.629997,54.483829,12061600
2002-10-28,85.559998,85.800003,83.300003,84.029999,54.097542,8822300
2002-10-29,83.709999,84.199997,81.849998,83.709999,53.891495,13946200
2002-10-30,83.879997,84.949997,83.160004,84.349998,54.303574,9937800
2002-10-31,84.589996,85.150002,83.43,83.75,53.917286,10202300
2002-11-01,83.5,85.610001,83.199997,85.300003,54.915192,9539200
2002-11-04,86.580002,87.5,85.599998,85.699997,55.172726,12260600
2002-11-05,85.519997,87.050003,85.5,86.900002,55.945259,10785400
2002-11-06,87.480003,88.150002,85.910004,88.050003,56.685562,17454500
2002-11-07,87.199997,87.379997,85.550003,86.050003,55.39798,9715600
2002-11-08,85.919998,86.940002,85.139999,85.279999,54.902306,9416900
2002-11-11,85.150002,85.169998,83.610001,83.959999,54.052483,7270300
2002-11-12,84.260002,85.339996,83.800003,84.300003,54.271374,9213000
2002-11-13,83.730003,85.239998,83.18,84.599998,54.464531,16988200
2002-11-14,85.209999,85.800003,84.349998,85.650002,55.140518,8668000
2002-11-15,84.75,85.980003,84.449997,85.849998,55.402493,7217000
2002-11-18,86.5,86.760002,84.900002,84.910004,54.795887,5612900
2002-11-19,84.449997,85.589996,84.150002,85.059998,54.892639,6069700
2002-11-20,84.699997,86.970001,84.559998,86.93,56.099445,8535000
2002-11-21,87.190002,88.839996,86.910004,88.739998,57.267555,9367500
2002-11-22,88.25,88.989998,88.099998,88.190002,56.912571,7770100
2002-11-25,88.18,88.949997,87.720001,88.480003,57.099762,6356500
2002-11-26,87.940002,88.599998,86.849998,86.900002,56.080147,5853600
2002-11-27,87.650002,89.650002,87.589996,89.529999,57.777348,8264700
2002-11-29,89.699997,89.800003,88.82,88.900002,57.370785,3058100
2002-12-02,90.400002,90.660004,88.029999,88.870003,57.35144,8928700
2002-12-03,88.199997,88.389999,87.410004,87.93,56.744827,7011500
2002-12-04,86.940002,88.400002,86.699997,87.75,56.628643,9947600
2002-12-05,87.970001,88.150002,86.290001,86.620003,55.899437,6918800
2002-12-06,85.440002,87.040001,85.099998,86.830002,56.034943,9463600
2002-12-09,85.970001,86.260002,84.760002,84.760002,54.699059,5605500
2002-12-10,85.339996,86.010002,84.919998,85.75,55.337982,6091300
2002-12-11,85.489998,86.5,85.129997,85.989998,55.49292,5671900
2002-12-12,86.25,86.5,85.260002,85.650002,55.273476,5282100
2002-12-13,84.839996,85.449997,84.370003,84.370003,54.447369,6491200
2002-12-16,84.93,86.699997,84.779999,86.699997,55.951012,5622800
2002-12-17,86.129997,86.690002,85.480003,85.57,55.221806,4202300
2002-12-18,85.150002,85.230003,84.360001,84.800003,54.724903,6711400
2002-12-19,84.370003,85.379997,83.559998,84.010002,54.215054,7277200
2002-12-20,84.339996,85.360001,83.669998,85.349998,55.217838,4713900
2002-12-23,84.82,85.989998,84.68,85.139999,55.081963,4688300
