Date,Open,High,Low,Close,Adj Close,Volume
2002-08-01,24.959999,25.280001,24.25,25.02,14.366027,12536300
2002-08-02,24.530001,24.9,23.280001,23.85,13.694237,13448400
2002-08-05,22.879999,23.4,22.1,22.35,12.832966,14479200
2002-08-06,23.5,24.629999,23.25,23.65,13.579398,14504500
2002-08-07,24.42,24.549999,23.18,24.040001,13.803329,10715900
2002-08-08,25.299999,26.4,24.82,26.379999,15.146914,16995400
2002-08-09,25.6,26.799999,25.27,26.35,15.129695,12011100
2002-08-12,25.799999,25.809999,25.01,25.459999,14.618662,9748200
2002-08-13,24.950001,25.780001,24.299999,24.4,14.01003,11024300
2002-08-14,24.4,25.139999,23.370001,25.139999,14.434933,15345800
2002-08-15,25.120001,25.58,24.110001,24.790001,14.233969,13570400
2002-08-16,24.790001,25.059999,24.190001,24.860001,14.274157,9678900
2002-08-19,24.98,27.35,24.84,27.209999,15.623477,13035800
2002-08-20,27.01,27.110001,26.299999,26.540001,15.23878,9419200
2002-08-21,26.5,27.01,25.98,26.879999,15.434004,9146800
2002-08-22,26.4,26.950001,25.66,26.690001,15.324903,11966500
2002-08-23,26.299999,26.43,25.4,25.709999,14.762204,9148500
2002-08-26,25.75,26.75,25.65,26.49,15.210072,8705300
2002-08-27,27,27.4,26.200001,26.75,15.359361,9691100
2002-08-28,26.4,26.75,26.040001,26.280001,15.089491,7982600
2002-08-29,25.9,26.790001,25.66,26.6,15.273235,6932700
2002-08-30,26.25,27.24,26.1,26.4,15.158395,7594200
2002-09-03,25.65,25.66,24.75,24.75,14.210994,11007600
2002-09-04,24.76,25.75,24.25,25.389999,14.578473,9968900
2002-09-05,24.629999,24.940001,23.99,24.1,13.837778,11126100
2002-09-06,25.040001,25.129999,23.9,23.91,13.728679,11131700
2002-09-09,23.200001,23.9,22.08,23.59,13.54495,23679300
2002-09-10,23.9,23.93,22.74,23.15,13.292302,11271200
2002-09-11,24.01,24.01,22.9,22.98,13.194689,6951000
2002-09-12,22.879999,22.9,21.860001,22.01,12.637742,11703100
2002-09-13,22.01,22.5,21.75,22.040001,12.654966,10826400
2002-09-16,21.6,21.9,21.26,21.709999,12.465482,10109200
2002-09-17,22.200001,22.4,21.34,21.549999,12.373614,10284400
2002-09-18,19.059999,20.59,18.799999,20.440001,11.736274,46143600
2002-09-19,20,20.34,19.5,19.870001,11.408991,18650600
2002-09-20,20.120001,20.5,19.9,20.18,11.586983,16576500
2002-09-23,19.559999,19.799999,19.01,19.25,11.052997,13813500
2002-09-24,19.26,19.299999,18.5,18.639999,10.702748,18935000
2002-09-25,19.030001,19.299999,18.32,18.889999,10.846292,16291400
2002-09-26,18.889999,19.719999,18.799999,19.27,11.064478,16468700
2002-09-27,19.27,19.75,18.26,18.34,10.530492,14082400
2002-09-30,18.35,19.5,17.860001,18.99,10.903708,19837400
2002-10-01,19.15,20.1,18.780001,19.74,11.33435,15851400
2002-10-02,19.139999,19.790001,18.09,18.25,10.662463,15141200
2002-10-03,18.26,18.66,17.6,17.620001,10.29439,21175900
2002-10-04,17.629999,18.129999,16.540001,16.540001,9.663408,21502400
2002-10-07,16.549999,17.25,16.15,16.77,9.797787,19884300
2002-10-08,17.25,17.4,15.84,16.6,9.698462,22978300
2002-10-09,16.049999,16.610001,15.26,15.45,9.02658,27852900
2002-10-10,15.46,16.35,15.34,15.95,9.318702,22442500
2002-10-11,16.440001,17.85,16.4,17.190001,10.043167,19016500
2002-10-14,17.01,17.530001,16.799999,16.879999,9.862047,10441300
2002-10-15,18.299999,18.719999,18.01,18.610001,10.872787,20045700
2002-10-16,18.15,18.48,18,18.290001,10.685835,15243300
2002-10-17,19.6,19.75,18.52,18.790001,10.977957,13722500
2002-10-18,18.780001,19.49,18.290001,18.969999,11.08312,10505200
2002-10-21,18.68,20.639999,18.549999,20.27,11.842638,18375700
2002-10-22,19.98,20.370001,19.82,19.91,11.632307,11149300
2002-10-23,19.700001,19.85,18.91,19.77,11.550513,13235400
2002-10-24,20.24,20.879999,19.65,19.700001,11.509621,15584100
2002-10-25,19.52,20.4,19.51,20.370001,11.901063,9805800
2002-10-28,21,21.610001,20.950001,21.25,12.415196,15491700
2002-10-29,20.799999,21,19.9,20.459999,11.953647,13296300
2002-10-30,20.5,21.200001,20.34,21.049999,12.298347,9994100
2002-10-31,21.049999,21.18,20.42,20.75,12.123081,9821000
2002-11-01,20.75,21.780001,20.51,21.52,12.572947,9145800
2002-11-04,22.35,23.059999,22,22.01,12.859226,13636400
2002-11-05,21.82,22.59,21.790001,22.469999,13.127977,10929600
2002-11-06,22.950001,22.98,21.24,22.059999,12.888437,17198700
2002-11-07,21.200001,21.309999,20.01,20.6,12.035438,19726200
2002-11-08,20.6,21.129999,20,20.200001,11.801743,12928700
2002-11-11,20.219999,20.799999,20,20.42,11.930277,8165400
2002-11-12,20.309999,20.9,20.299999,20.540001,12.000385,9326300
2002-11-13,20.5,21.1,20.1,20.950001,12.239926,10768000
2002-11-14,21.42,21.950001,21.42,21.92,12.806644,10599200
2002-11-15,21.93,22.35,21.459999,22.09,12.905965,12308100
2002-11-18,22.24,22.4,21.700001,21.889999,12.789113,9986300
2002-11-19,21.66,22.1,21.629999,21.950001,12.824169,8207300
2002-11-20,22.299999,23.799999,22.15,23.719999,13.858287,19718200
2002-11-21,24.049999,24.889999,23.76,24.889999,14.541845,20578600
2002-11-22,24.309999,25.280001,24.309999,24.99,14.600278,14654500
2002-11-25,25,25.219999,24.51,24.950001,14.576901,10104600
2002-11-26,24.9,24.959999,24.1,24.190001,14.132874,9448600
2002-11-27,24.549999,25.200001,24.4,25.190001,14.717122,11766600
2002-11-29,25.4,25.700001,25.110001,25.17,14.705438,4637400
2002-12-02,25.99,26.139999,24.799999,25.219999,14.73465,12493900
2002-12-03,25.1,25.110001,24.4,24.610001,14.378264,12677900
2002-12-04,24.620001,25.200001,24.049999,24.700001,14.43084,9266800
2002-12-05,24.700001,24.709999,23.540001,23.610001,13.794021,11451300
2002-12-06,22.959999,24.700001,22.799999,24.43,14.273097,13236200
2002-12-09,23.860001,24,23.09,23.26,13.589524,9414800
2002-12-10,23.27,24.200001,23.27,24.15,14.109509,8975700
2002-12-11,23.860001,24.299999,23.700001,24.09,14.074447,6803600
2002-12-12,24.09,24.75,23.870001,24.15,14.109509,8396500
2002-12-13,23.950001,24.049999,23.51,23.620001,13.799856,8218200
2002-12-16,23.799999,24.83,23.549999,24.799999,14.489274,7942600
2002-12-17,24.799999,25.59,24.66,25.02,14.617803,11435100
2002-12-18,24.450001,24.58,23.9,24,14.021874,14182700
2002-12-19,24.01,24.190001,22.860001,23.33,13.63043,13923400
2002-12-20,23.799999,24.870001,23.66,24.870001,14.530163,15517500
2002-12-23,24.4,24.99,24.299999,24.709999,14.436687,9285700
2002-12-24,24.6,24.610001,24.030001,24.200001,14.138721,3772400
2002-12-26,24.200001,24.879999,24.190001,24.450001,14.284781,5838500
2002-12-27,24.450001,24.459999,23.67,23.799999,13.905025,7220200
2002-12-30,24.01,24.1,23.610001,23.99,14.016024,7389700
2002-12-31,23.99,24.15,23.690001,24,14.021874,6215300
2003-01-02,25.25,25.5,24.799999,25.440001,15.076773,16739100
2003-01-03,25.5,25.99,25.200001,25.940001,15.373092,12525700
2003-01-06,26,28.1,25.959999,27.98,16.582077,22932400
2003-01-07,27.98,28.290001,27.620001,27.84,16.499111,17837500
2003-01-08,27.25,27.25,26.51,26.77,15.864987,15857300
2003-01-09,26.85,27.389999,26.85,27.299999,16.179087,11205600
2003-01-10,26.85,27.690001,26.75,27.09,16.05463,8725900
2003-01-13,27.4,27.690001,27.209999,27.280001,16.167234,9290600
2003-01-14,27.5,27.75,27.139999,27.59,16.350948,8216900
2003-01-15,27.549999,27.639999,26.82,27.08,16.048708,8147800
2003-01-16,27.08,27.32,26.51,26.780001,15.870911,7734500
2003-01-17,26.35,26.84,26.030001,26.190001,15.521254,9809500
2003-01-21,26.52,26.6,25.27,25.42,15.064921,10367800
2003-01-22,25.42,25.42,24.6,24.700001,14.638218,16066100
2003-01-23,25.1,25.26,24.5,25.129999,14.893052,8020000
2003-01-24,24.85,25.129999,23.559999,23.809999,14.110763,11709500
2003-01-27,23.75,24.1,23.059999,23.290001,13.802593,8787500
2003-01-28,23.6,23.950001,23.24,23.51,13.932978,10567800
2003-01-29,23.200001,23.66,22.76,23.5,13.927045,9989200
2003-01-30,23.5,23.85,22.83,23.040001,13.654436,9122100
2003-01-31,22.75,23.49,22.700001,23.34,13.83223,9560900
2003-02-03,23.5,23.870001,23.34,23.58,13.974456,7833000
2003-02-04,23.59,23.59,22.75,23.049999,13.66036,8152200
2003-02-05,23.25,23.690001,22.780001,22.940001,13.595167,8414600
2003-02-06,22.67,22.73,22.200001,22.309999,13.221808,8906400
2003-02-07,22.6,22.639999,21.799999,21.98,13.026226,9526700
2003-02-10,22,22.299999,21.76,22.1,13.097355,9080900
2003-02-11,22.450001,22.450001,21.940001,22,13.03809,12582400
2003-02-12,22,22.219999,21.51,21.51,12.747692,9567700
2003-02-13,21.5,21.530001,20.860001,21.290001,12.617316,10872500
2003-02-14,21.299999,21.950001,21.17,21.85,12.949197,8881000
2003-02-18,22.08,22.860001,22.07,22.5,13.334408,9225300
2003-02-19,22.5,22.65,22.299999,22.5,13.334408,8084700
2003-02-20,22.6,22.799999,22.379999,22.690001,13.44701,7140000
2003-02-21,22.59,23.1,22.15,22.879999,13.559612,8525100
2003-02-24,22.889999,22.889999,22.190001,22.299999,13.215878,7695700
2003-02-25,22,22.549999,21.719999,22.549999,13.364042,10674500
2003-02-26,22.35,22.6,22.1,22.34,13.239587,6608100
2003-02-27,22.4,23,22.209999,22.66,13.429233,8760600
2003-02-28,22.639999,23,22.51,22.68,13.441082,7684900
2003-03-03,23.15,23.33,22.66,22.85,13.541832,8083200
2003-03-04,22.85,22.9,22.4,22.4,13.275145,7706700
2003-03-05,22.41,22.809999,22.35,22.809999,13.518125,7670600
2003-03-06,22.42,22.530001,21.959999,22,13.03809,10613600
2003-03-07,21.690001,22.799999,21.57,22.290001,13.209955,9272100
2003-03-10,21.870001,22.190001,21.35,21.440001,12.706213,8585100
2003-03-11,21.549999,21.799999,20.67,20.75,12.297293,12601900
2003-03-12,20.5,21,20.129999,20.75,12.297293,16405900
2003-03-13,21.25,21.77,21.07,21.719999,12.872144,12988100
2003-03-14,21.77,22.1,21.16,21.26,12.599531,13848700
2003-03-17,21.25,22.67,21.01,22.559999,13.369967,15267800
2003-03-18,22.879999,23,22.450001,22.809999,13.518125,9193900
2003-03-19,22.85,23.35,22.700001,23.33,13.826301,11398700
2003-03-20,22.780001,23.66,22.75,23.530001,13.944826,10698200
2003-03-21,23.889999,24.9,23.76,24.65,14.608583,18484800
2003-03-24,23.75,24.040001,23.450001,23.629999,14.004093,10964200
2003-03-25,23.57,24.459999,23.57,24.139999,14.306338,9397300
2003-03-26,23.9,24.35,23.879999,24.17,14.324114,6461300
2003-03-27,24.01,24.42,23.68,24.120001,14.294482,7552700
2003-03-28,24.120001,24.59,23.879999,24.450001,14.490056,7736700
2003-03-31,23.75,24.1,23.65,23.709999,14.051501,9251900
2003-04-01,24.15,24.4,23.75,24.23,14.359676,9689000
2003-04-02,24.799999,25.32,24.620001,25.110001,15.092987,13884500
2003-04-03,25.4,25.49,24.9,24.940001,14.990808,10313700
2003-04-04,25.34,25.65,25.09,25.58,15.37549,10113600
2003-04-07,26.459999,26.73,25.6,25.639999,15.411554,12796300
2003-04-08,25.85,26.1,25.450001,25.99,15.621934,8949700
2003-04-09,26.049999,26.41,25.58,25.73,15.465655,10140100
2003-04-10,25.73,25.9,25.41,25.719999,15.459646,7215900
2003-04-11,26,26.26,25.42,25.59,15.381498,8002200
2003-04-14,25.98,26.6,25.879999,26.540001,15.952521,10041200
2003-04-15,26.51,27.4,26.280001,26.870001,16.150879,13327300
2003-04-16,27.540001,27.700001,26.25,26.5,15.928484,18636300
2003-04-17,26.5,27.469999,26.5,27.309999,16.415348,11055000
2003-04-21,27.309999,27.74,27.16,27.450001,16.499512,8337900
2003-04-22,27.32,28.799999,27.17,28.68,17.238823,13899900
2003-04-23,28.75,29.690001,28.65,29.440001,17.695642,15108200
2003-04-24,28.73,28.85,28.309999,28.559999,17.166697,12139800
2003-04-25,28.75,28.76,27.65,27.959999,16.806047,11300700
2003-04-28,28,28.91,28,28.809999,17.316963,9481100
2003-04-29,28.690001,29.25,28.629999,29.139999,17.515318,12232300
2003-04-30,29.139999,29.65,28.809999,29.35,17.641546,14738100
2003-05-01,29.35,29.559999,28.690001,29.280001,17.599464,10261200
2003-05-02,29.15,30.049999,29.09,29.860001,17.948095,10634900
2003-05-05,30,30.950001,30,30.360001,18.248629,13997200
2003-05-06,30.25,31.049999,29.969999,30.709999,18.459009,12208100
2003-05-07,30.450001,30.99,30.16,30.82,18.525127,10721500
2003-05-08,30.450001,30.530001,29.82,29.959999,18.0082,10890100
2003-05-09,30.08,30.18,29.58,30.08,18.080334,8820500
2003-05-12,30.08,30.99,29.77,30.940001,18.597254,8801900
2003-05-13,30.940001,31.049999,30.360001,30.719999,18.465017,7476000
