Date,Open,High,Low,Close,Adj Close,Volume
2016-12-02,"19,161.25","19,196.14","19,141.18","19,170.42","19,170.42","84,920,000"
2016-12-05,"19,244.35","19,274.85","19,186.73","19,216.24","19,216.24","317,800,000"
2016-12-06,"19,219.91","19,255.89","19,184.74","19,251.78","19,251.78","284,960,000"
2016-12-07,"19,241.99","19,558.42","19,229.83","19,549.62","19,549.62","385,200,000"
2016-12-08,"19,559.94","19,664.97","19,527.83","19,614.81","19,614.81","324,570,000"
2016-12-09,"19,631.35","19,757.74","19,623.19","19,756.85","19,756.85","334,470,000"
2016-12-12,"19,770.20","19,824.59","19,747.74","19,796.43","19,796.43","333,660,000"
2016-12-13,"19,852.21","19,953.75","19,846.45","19,911.21","19,911.21","388,420,000"
2016-12-14,"19,876.13","19,966.43","19,748.67","19,792.53","19,792.53","408,430,000"
2016-12-15,"19,811.50","19,951.29","19,811.50","19,852.24","19,852.24","357,350,000"
2016-12-16,"19,909.01","19,923.17","19,821.00","19,843.41","19,843.41","573,470,000"
2016-12-19,"19,836.66","19,917.78","19,832.95","19,883.06","19,883.06","302,310,000"
2016-12-20,"19,920.59","19,987.63","19,920.42","19,974.62","19,974.62","284,080,000"
2016-12-21,"19,968.97","19,986.56","19,941.96","19,941.96","19,941.96","256,640,000"
2016-12-22,"19,922.68","19,933.83","19,882.19","19,918.88","19,918.88","258,290,000"
2016-12-23,"19,908.61","19,934.15","19,899.06","19,933.81","19,933.81","158,260,000"
2016-12-27,"19,943.46","19,980.24","19,939.80","19,945.04","19,945.04","158,540,000"
2016-12-28,"19,964.31","19,981.11","19,827.31","19,833.68","19,833.68","188,350,000"
2016-12-29,"19,835.46","19,878.44","19,788.94","19,819.78","19,819.78","172,040,000"
2016-12-30,"19,833.17","19,852.55","19,718.67","19,762.60","19,762.60","271,910,000"
2017-01-03,"19,872.86","19,938.53","19,775.93","19,881.76","19,881.76","339,180,000"
2017-01-04,"19,890.94","19,956.14","19,878.83","19,942.16","19,942.16","280,010,000"
2017-01-05,"19,924.56","19,948.60","19,811.12","19,899.29","19,899.29","269,920,000"
2017-01-06,"19,906.96","19,999.63","19,834.08","19,963.80","19,963.80","277,700,000"
2017-01-09,"19,931.41","19,943.78","19,887.38","19,887.38","19,887.38","287,510,000"
2017-01-10,"19,876.35","19,957.12","19,836.03","19,855.53","19,855.53","299,410,000"
2017-01-11,"19,887.38","19,973.42","19,833.16","19,954.28","19,954.28","336,150,000"
2017-01-12,"19,926.21","19,929.29","19,770.47","19,891.00","19,891.00","306,290,000"
2017-01-13,"19,912.54","19,952.03","19,849.38","19,885.73","19,885.73","263,780,000"
2017-01-17,"19,848.82","19,882.99","19,775.35","19,826.77","19,826.77","341,900,000"
2017-01-18,"19,822.73","19,828.20","19,739.00","19,804.72","19,804.72","279,760,000"
2017-01-19,"19,813.55","19,824.14","19,677.94","19,732.40","19,732.40","301,750,000"
2017-01-20,"19,795.06","19,843.94","19,759.14","19,827.25","19,827.25","435,260,000"
2017-01-23,"19,794.79","19,833.98","19,732.36","19,799.85","19,799.85","326,690,000"
2017-01-24,"19,794.68","19,949.24","19,786.71","19,912.71","19,912.71","374,460,000"
