Date,Open,High,Low,Close,Adj Close,Volume
2016-12-02,219.669998,220.25,219.259995,219.679993,200.582916,74840300
2016-12-05,220.649994,221.399994,220.419998,221,201.788193,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,202.427322,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,205.075256,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,205.577393,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,206.819168,88005800
2016-12-12,226.399994,226.960007,225.759995,226.25,206.581787,102016100
2016-12-13,227.020004,228.339996,227,227.759995,207.96048,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,206.243958,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,207.093079,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,206.688095,156420200
2016-12-19,225.25,226.020004,225.080002,225.529999,207.138138,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,207.937164,89838800
2016-12-21,226.25,226.449997,225.770004,225.770004,207.358551,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,207.000397,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,207.303467,36697800
2016-12-27,226.020004,226.729996,226,226.270004,207.81778,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,206.10025,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,206.054352,48696100
2016-12-30,224.729996,224.830002,222.729996,223.529999,205.301239,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,206.871796,91366500
2017-01-04,225.619995,226.75,225.610001,226.580002,208.102463,78744400
2017-01-05,226.270004,226.580002,225.479996,226.399994,207.937164,78379000
2017-01-06,226.529999,227.75,225.899994,227.210007,208.681122,71559900
2017-01-09,226.910004,227.070007,226.419998,226.460007,207.992294,46939700
2017-01-10,226.479996,227.449997,226.009995,226.460007,207.992294,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,208.580109,74650000
2017-01-12,226.5,226.75,224.960007,226.529999,208.056595,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,208.534164,62717900
2017-01-17,226.309998,226.779999,225.800003,226.25,207.799408,61240800
2017-01-18,226.539993,226.800003,225.899994,226.75,208.258606,54793300
